stats_o/std,epoch,train/success_rate,stats_g/std,test/mean_Q,stats_o/mean,test/episode,train/episode,stats_g/mean,test/success_rate
0.9397235,1,0.0,0.22271447,-50.034313,0.20487396,20.0,100.0,0.36986843,0.0
0.93977624,2,0.0,0.22272424,-46.2189,0.20487821,40.0,200.0,0.36986184,0.004166666666666667
0.9398088,3,0.0,0.2227313,-46.877064,0.20488183,60.0,300.0,0.36985597,0.004166666666666667
0.9398279,4,0.0,0.22273917,-43.66809,0.20488535,80.0,400.0,0.36984992,0.004166666666666667
0.93983954,5,0.0,0.22275035,-44.84618,0.2048896,100.0,500.0,0.36984453,0.0
0.9398406,6,0.0008333333333333334,0.22275971,-46.040546,0.20489244,120.0,600.0,0.3698384,0.004166666666666667
0.93983555,7,0.0008333333333333334,0.22276652,-44.992657,0.20489733,140.0,700.0,0.36983535,0.004166666666666667
0.9398291,8,0.0,0.22277708,-43.635452,0.20489989,160.0,800.0,0.3698298,0.008333333333333333
0.9398212,9,0.0,0.22278406,-43.495686,0.20490159,180.0,900.0,0.36982575,0.004166666666666667
0.9398063,10,0.0008333333333333334,0.22279288,-42.9409,0.20490193,200.0,1000.0,0.36982015,0.004166666666666667
0.93978953,11,0.0,0.22280185,-42.877804,0.20490064,220.0,1100.0,0.3698145,0.012500000000000002
0.93977374,12,0.0008333333333333334,0.222813,-44.250774,0.20490025,240.0,1200.0,0.36980537,0.012500000000000002
0.9397566,13,0.0008333333333333334,0.22282289,-43.95343,0.2049013,260.0,1300.0,0.36979708,0.004166666666666667
0.93973774,14,0.0008333333333333334,0.22283258,-42.483295,0.20490229,280.0,1400.0,0.36978817,0.0
0.9397125,15,0.0008333333333333334,0.22284265,-41.99301,0.20490444,300.0,1500.0,0.36978063,0.008333333333333333
0.9396871,16,0.0,0.2228539,-43.991955,0.20490561,320.0,1600.0,0.36977354,0.0
0.93966085,17,0.0,0.22286452,-43.997066,0.20490657,340.0,1700.0,0.3697656,0.004166666666666667
0.93963,18,0.0008333333333333334,0.22287355,-45.208393,0.20490879,360.0,1800.0,0.36976138,0.008333333333333333
0.9395986,19,0.0,0.22288556,-46.09495,0.2049102,380.0,1900.0,0.36975488,0.008333333333333333
0.9395649,20,0.0,0.2228951,-45.75464,0.20491123,400.0,2000.0,0.36975017,0.016666666666666666
0.93952966,21,0.0,0.2229053,-46.916737,0.2049127,420.0,2100.0,0.3697475,0.004166666666666667
0.93949467,22,0.0008333333333333334,0.22291207,-47.364452,0.20491259,440.0,2200.0,0.36974564,0.008333333333333333
0.9394576,23,0.0016666666666666668,0.2229187,-47.854034,0.20491354,460.0,2300.0,0.36974463,0.020833333333333332
0.9394186,24,0.0,0.22292733,-47.50903,0.20491272,480.0,2400.0,0.3697432,0.008333333333333333
0.9393775,25,0.0016666666666666668,0.22293602,-47.96876,0.20491283,500.0,2500.0,0.36973992,0.008333333333333333
0.93933505,26,0.0008333333333333334,0.22294222,-49.97961,0.20491345,520.0,2600.0,0.36973897,0.004166666666666667
0.9392914,27,0.0,0.22294973,-50.10721,0.20491464,540.0,2700.0,0.36973825,0.004166666666666667
0.93924636,28,0.0,0.2229557,-51.107788,0.20491606,560.0,2800.0,0.36973628,0.0
0.9392045,29,0.0008333333333333334,0.22296272,-50.61171,0.20491867,580.0,2900.0,0.36973587,0.012500000000000002
0.9391603,30,0.0016666666666666668,0.22296564,-50.74574,0.20492172,600.0,3000.0,0.36973548,0.004166666666666667
