stats_o/std,stats_g/mean,stats_g/std,train/success_rate,train/episode,stats_o/mean,test/mean_Q,epoch,test/success_rate,test/episode
0.92592293,0.36702895,0.21562971,0.0008333333333333334,100.0,0.20963043,-54.898693,1,0.008333333333333333,20.0
0.9259551,0.36703005,0.21563609,0.0,200.0,0.20963232,-50.0385,2,0.008333333333333333,40.0
0.92597604,0.3670319,0.21564198,0.0,300.0,0.20963347,-50.80722,3,0.004166666666666667,60.0
0.9259885,0.36703396,0.21564735,0.0025,400.0,0.2096339,-47.918568,4,0.0,80.0
0.92599505,0.36703625,0.21565247,0.0008333333333333334,500.0,0.20963557,-47.76552,5,0.008333333333333333,100.0
0.92599756,0.36703792,0.2156597,0.0016666666666666668,600.0,0.20963742,-47.74178,6,0.020833333333333332,120.0
0.9259992,0.36704063,0.21566539,0.0016666666666666668,700.0,0.20963912,-48.31307,7,0.016666666666666666,140.0
0.9260009,0.36704302,0.21567304,0.0,800.0,0.20964034,-46.255466,8,0.05416666666666667,160.0
0.92600054,0.36704636,0.21567945,0.0016666666666666668,900.0,0.20964165,-48.81302,9,0.03333333333333333,180.0
0.9259979,0.3670499,0.21568434,0.0008333333333333334,1000.0,0.2096436,-46.591747,10,0.016666666666666666,200.0
0.9259954,0.36705324,0.2156911,0.0008333333333333334,1100.0,0.2096455,-46.36668,11,0.012500000000000002,220.0
0.92599076,0.36705586,0.21569665,0.0008333333333333334,1200.0,0.20964687,-49.85004,12,0.012500000000000002,240.0
0.92598504,0.36705795,0.21570186,0.0008333333333333334,1300.0,0.2096471,-46.75331,13,0.016666666666666666,260.0
0.9259793,0.36706027,0.21570836,0.0008333333333333334,1400.0,0.20964783,-46.842136,14,0.016666666666666666,280.0
0.9259715,0.36706242,0.21571453,0.0016666666666666668,1500.0,0.20964901,-46.56084,15,0.037500000000000006,300.0
0.9259642,0.36706534,0.21571994,0.0008333333333333334,1600.0,0.20965064,-47.738434,16,0.012500000000000002,320.0
0.92595834,0.36706737,0.21572684,0.0016666666666666668,1700.0,0.20965166,-49.17798,17,0.012500000000000002,340.0
0.92595166,0.36707053,0.21573357,0.0016666666666666668,1800.0,0.20965256,-47.324543,18,0.012500000000000002,360.0
0.9259438,0.36707178,0.21574168,0.0016666666666666668,1900.0,0.20965283,-48.046864,19,0.02916666666666667,380.0
0.92593724,0.36707416,0.21574938,0.0016666666666666668,2000.0,0.20965385,-48.586765,20,0.012500000000000002,400.0
0.92593306,0.3670766,0.21575527,0.0008333333333333334,2100.0,0.20965521,-47.236942,21,0.03333333333333333,420.0
0.92592615,0.36707988,0.21576135,0.0008333333333333334,2200.0,0.20965594,-46.302906,22,0.012500000000000002,440.0
0.92592067,0.36708304,0.21576782,0.0025,2300.0,0.20965604,-49.296066,23,0.024999999999999998,460.0
0.9259152,0.3670874,0.21577556,0.004166666666666667,2400.0,0.20965636,-47.515026,24,0.016666666666666666,480.0
0.9259071,0.36708948,0.21578391,0.0016666666666666668,2500.0,0.20965631,-45.7054,25,0.016666666666666666,500.0
0.92589974,0.3670924,0.2157908,0.0016666666666666668,2600.0,0.20965648,-47.808865,26,0.008333333333333333,520.0
0.92589194,0.36709473,0.21579926,0.0016666666666666668,2700.0,0.2096561,-46.359257,27,0.04583333333333334,540.0
0.925886,0.36709666,0.21580784,0.0,2800.0,0.20965582,-47.69447,28,0.024999999999999998,560.0
0.92587835,0.3670998,0.21581586,0.0025,2900.0,0.2096561,-49.359432,29,0.025000000000000005,580.0
0.9258717,0.36710218,0.21582289,0.0025,3000.0,0.20965616,-45.62485,30,0.012500000000000002,600.0
0.92586344,0.36710373,0.21583147,0.0025,3100.0,0.20965655,-45.93935,31,0.03333333333333333,620.0
0.92585415,0.36710677,0.21583764,0.0025,3200.0,0.2096561,-46.038998,32,0.024999999999999998,640.0
0.9258458,0.3671076,0.2158453,0.0016666666666666668,3300.0,0.20965584,-47.795307,33,0.020833333333333332,660.0
