epoch,test/success_rate,stats_o/mean,train/success_rate,test/mean_Q,stats_g/mean,test/episode,stats_o/std,stats_g/std,train/episode
1,0.004166666666666667,0.21071418,0.0016666666666666668,-54.34122,0.36848333,20.0,0.92246026,0.21350928,100.0
2,0.020833333333333332,0.21071656,0.0008333333333333334,-51.587757,0.3684837,40.0,0.9224716,0.21351425,200.0
3,0.020833333333333332,0.21071787,0.004166666666666667,-53.118977,0.36848435,60.0,0.9224741,0.21351747,300.0
4,0.020833333333333332,0.21071947,0.0016666666666666668,-51.710514,0.36848453,80.0,0.92247176,0.2135226,400.0
5,0.016666666666666666,0.2107213,0.0008333333333333334,-52.70308,0.36848512,100.0,0.9224675,0.2135274,500.0
6,0.012500000000000002,0.21072324,0.0016666666666666668,-54.281338,0.36848602,120.0,0.92246294,0.2135336,600.0
7,0.02916666666666667,0.21072476,0.0033333333333333335,-54.515198,0.3684876,140.0,0.92245764,0.21354027,700.0
8,0.041666666666666664,0.2107264,0.004166666666666667,-52.659515,0.3684883,160.0,0.9224517,0.2135456,800.0
9,0.020833333333333332,0.21072797,0.0008333333333333334,-53.97722,0.3684894,180.0,0.922445,0.21355005,900.0
10,0.029166666666666664,0.21072866,0.005,-52.121014,0.3684903,200.0,0.9224372,0.21355708,1000.0
11,0.024999999999999998,0.21072955,0.004166666666666667,-51.92358,0.3684915,220.0,0.9224313,0.21356384,1100.0
12,0.016666666666666666,0.2107306,0.0033333333333333335,-55.96639,0.3684918,240.0,0.92242414,0.21356964,1200.0
13,0.004166666666666667,0.21073155,0.0025,-52.389812,0.36849222,260.0,0.92241716,0.2135772,1300.0
14,0.024999999999999998,0.2107317,0.0033333333333333335,-52.311874,0.36849305,280.0,0.9224108,0.21358432,1400.0
15,0.020833333333333332,0.21073182,0.0025,-51.29518,0.3684938,300.0,0.9224035,0.2135909,1500.0
16,0.004166666666666667,0.21073216,0.0025,-51.81749,0.36849412,320.0,0.92239714,0.21359716,1600.0
17,0.004166666666666667,0.21073253,0.0025,-53.544643,0.36849394,340.0,0.92239267,0.21360387,1700.0
18,0.020833333333333332,0.21073313,0.0008333333333333334,-53.06573,0.36849412,360.0,0.92238826,0.21361251,1800.0
19,0.020833333333333332,0.21073413,0.0033333333333333335,-53.66164,0.36849388,380.0,0.92238504,0.21361937,1900.0
20,0.02916666666666667,0.21073359,0.0025,-52.66654,0.36849388,400.0,0.92238206,0.21362817,2000.0
21,0.020833333333333332,0.21073397,0.0016666666666666668,-51.193207,0.3684943,420.0,0.92238086,0.21363594,2100.0
22,0.016666666666666666,0.21073557,0.0016666666666666668,-52.23755,0.36849537,440.0,0.9223798,0.21364354,2200.0
23,0.008333333333333333,0.21073692,0.0016666666666666668,-51.939342,0.3684957,460.0,0.9223793,0.21365164,2300.0
24,0.008333333333333333,0.21073775,0.004166666666666667,-51.57877,0.36849633,480.0,0.92237884,0.21366154,2400.0
25,0.016666666666666666,0.21073842,0.0008333333333333334,-50.849243,0.3684961,500.0,0.922378,0.21367033,2500.0
26,0.020833333333333332,0.21073906,0.0,-47.8008,0.36849645,520.0,0.92237633,0.21367748,2600.0
27,0.012500000000000002,0.21073936,0.0008333333333333334,-52.779568,0.36849666,540.0,0.9223755,0.21368428,2700.0
28,0.016666666666666666,0.21073945,0.0008333333333333334,-51.29823,0.3684956,560.0,0.922373,0.21369193,2800.0
29,0.012500000000000002,0.2107399,0.0033333333333333335,-50.675964,0.36849537,580.0,0.9223702,0.2137006,2900.0
30,0.016666666666666666,0.21073978,0.0025,-47.505566,0.36849496,600.0,0.9223682,0.21370824,3000.0
31,0.024999999999999998,0.21073972,0.0016666666666666668,-47.265797,0.36849478,620.0,0.92236567,0.21371545,3100.0
32,0.016666666666666666,0.21073979,0.0025,-47.67799,0.36849597,640.0,0.9223631,0.21372278,3200.0
33,0.03333333333333333,0.21074034,0.0025,-46.904766,0.36849573,660.0,0.9223606,0.21373262,3300.0
34,0.025000000000000005,0.21073933,0.0008333333333333334,-48.413483,0.3684958,680.0,0.92236066,0.21374173,3400.0
35,0.016666666666666666,0.21073751,0.0025,-46.840206,0.36849555,700.0,0.9223612,0.21375032,3500.0
36,0.004166666666666667,0.21073604,0.0016666666666666668,-46.33019,0.36849478,720.0,0.92236376,0.21375959,3600.0
37,0.025000000000000005,0.21073556,0.0016666666666666668,-46.888912,0.36849466,740.0,0.92236376,0.21376963,3700.0
38,0.025000000000000005,0.21073402,0.0008333333333333334,-44.12972,0.36849424,760.0,0.9223643,0.21377973,3800.0
39,0.008333333333333333,0.21073203,0.0033333333333333335,-47.390762,0.36849347,780.0,0.9223644,0.21379061,3900.0
40,0.012500000000000002,0.2107309,0.0025,-46.543056,0.36849263,800.0,0.92236334,0.21379964,4000.0
41,0.008333333333333333,0.21073,0.0016666666666666668,-46.25871,0.36849156,820.0,0.92236084,0.21380977,4100.0
42,0.008333333333333333,0.2107293,0.0033333333333333335,-44.935535,0.3684914,840.0,0.9223587,0.21381985,4200.0
43,0.016666666666666666,0.21072759,0.0016666666666666668,-45.389816,0.3684906,860.0,0.9223549,0.21383135,4300.0
44,0.012500000000000002,0.21072622,0.0008333333333333334,-45.63872,0.3684903,880.0,0.92234915,0.21384247,4400.0
45,0.02916666666666667,0.21072519,0.0016666666666666668,-45.740845,0.36849132,900.0,0.9223437,0.21384974,4500.0
46,0.02916666666666667,0.21072495,0.0025,-46.677708,0.36849132,920.0,0.92233855,0.21385808,4600.0
47,0.008333333333333333,0.21072452,0.0,-47.3154,0.36849213,940.0,0.92233276,0.21386687,4700.0
48,0.008333333333333333,0.21072483,0.0033333333333333335,-48.59315,0.36849275,960.0,0.92232734,0.21387376,4800.0
49,0.012500000000000002,0.21072535,0.0008333333333333334,-47.212738,0.36849388,980.0,0.9223221,0.2138804,4900.0
50,0.012500000000000002,0.21072562,0.0016666666666666668,-47.447033,0.3684955,1000.0,0.9223183,0.21388765,5000.0
51,0.008333333333333333,0.21072604,0.0,-47.839336,0.3684965,1020.0,0.9223113,0.21389492,5100.0
52,0.008333333333333333,0.21072632,0.0008333333333333334,-46.610184,0.3684977,1040.0,0.9223048,0.21390198,5200.0
53,0.016666666666666666,0.21072717,0.0016666666666666668,-48.02068,0.36850032,1060.0,0.92229843,0.21391015,5300.0
54,0.025000000000000005,0.21072759,0.0016666666666666668,-48.255962,0.3685019,1080.0,0.9222916,0.21391742,5400.0
55,0.0375,0.21072781,0.0,-48.106934,0.36850467,1100.0,0.9222835,0.21392278,5500.0
56,0.008333333333333333,0.21072794,0.0025,-49.428802,0.36850724,1120.0,0.92227554,0.21393071,5600.0
57,0.025000000000000005,0.21072905,0.0025,-48.071777,0.36850986,1140.0,0.9222665,0.21393813,5700.0
58,0.012500000000000002,0.21072997,0.0008333333333333334,-50.84352,0.36851254,1160.0,0.9222576,0.21394418,5800.0
